honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
,Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2021-09-20T00:00:00,1705764558512
Hon.,Mark,Holland,Ajax,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
,Anthony,Housefather,Mount Royal,Quebec,Liberal,2021-09-20T00:00:00,1705764558512
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2021-09-20T00:00:00,1705764558512
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705764558512
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2021-09-20T00:00:00,1705764558512
,Lori,Idlout,Nunavut,Nunavut,NDP,2021-09-20T00:00:00,1705764558512
Hon.,Marci,Ien,Toronto Centre,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
Hon.,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2021-09-20T00:00:00,1705764558512
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2021-09-20T00:00:00,1705764558512
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2021-09-20T00:00:00,1705764558512
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1705764558512
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2021-09-20T00:00:00,1705764558512
,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20T00:00:00,1705764558512
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20T00:00:00,1705764558512
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20T00:00:00,1705764558512
,Arpan,Khanna,Oxford,Ontario,Conservative,2023-06-19T00:00:00,1705764558512
