member_id,honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved,source
105802,,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/tracy-gray(105802)
93023,,Matthew,Green,Hamilton Centre,Ontario,NDP,2021-09-20T00:00:00,1706738730620,/members/en/matthew-green(93023)
14171,Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/steven-guilbeault(14171)
88984,Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/patty-hajdu(88984)
105630,,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/jasraj-singh-hallan(105630)
111109,,Brendan,Hanley,Yukon,Yukon,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/brendan-hanley(111109)
89274,,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/ken-hardie(89274)
110446,,Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/lisa-hepfner(110446)
59148,,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/randy-hoback(59148)
25508,Hon.,Mark,Holland,Ajax,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/mark-holland(25508)
88558,,Anthony,Housefather,Mount Royal,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/anthony-housefather(88558)
31289,,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2021-09-20T00:00:00,1706738730620,/members/en/carol-hughes(31289)
89020,Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/ahmed-hussen(89020)
88292,Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/gudie-hutchings(88292)
71337,,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/angelo-iacono(71337)
111116,,Lori,Idlout,Nunavut,Nunavut,NDP,2021-09-20T00:00:00,1706738730620,/members/en/lori-idlout(111116)
107097,Hon.,Marci,Ien,Toronto Centre,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/marci-ien(107097)
105229,Hon.,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/helena-jaczek(105229)
89167,,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/matt-jeneroux(89167)
89263,,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/gord-johns(89263)
88384,Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/melanie-joly(88384)
13218,,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/yvonne-jones(13218)
88929,,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/majid-jowhari(88929)
16399,,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/peter-julian(16399)
110502,,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/arielle-kayabaga(110502)
104531,,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/mike-kelloway(104531)
