honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Mark,Holland,Ajax,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Anthony,Housefather,Mount Royal,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2021-09-20T00:00:00,1706044273757
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1706044273757
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Lori,Idlout,Nunavut,Nunavut,NDP,2021-09-20T00:00:00,1706044273757
Hon.,Marci,Ien,Toronto Centre,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2021-09-20T00:00:00,1706044273757
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20T00:00:00,1706044273757
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Arpan,Khanna,Oxford,Ontario,Conservative,2023-06-19T00:00:00,1706044273757
Hon.,Kamal,Khera,Brampton West,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2021-09-20T00:00:00,1706044273757
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Annie,Koutrakis,Vimy,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2021-09-20T00:00:00,1706044273757
,Shelby,Kramp-Neuman,Hastings—Lennox and Addington,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Jenny,Kwan,Vancouver East,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Marie-France,Lalonde,Orléans,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2021-09-20T00:00:00,1706044273757
,Melissa,Lantsman,Thornhill,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Viviane,Lapointe,Sudbury,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Richard,Lehoux,Beauce,Quebec,Conservative,2021-09-20T00:00:00,1706044273757
,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Branden,Leslie,Portage—Lisgar,Manitoba,Conservative,2023-06-19T00:00:00,1706044273757
,Chris,Lewis,Essex,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Leslyn,Lewis,Haldimand—Norfolk,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2021-09-20T00:00:00,1706044273757
,Lloyd,Longfield,Guelph,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2021-09-20T00:00:00,1706044273757
,Heath,MacDonald,Malpeque,Prince Edward Island,Liberal,2021-09-20T00:00:00,1706044273757
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
Hon.,Steven,MacKinnon,Gatineau,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2021-09-20T00:00:00,1706044273757
,Shuvaloy,Majumdar,Calgary Heritage,Alberta,Conservative,2023-07-24T00:00:00,1706044273757
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
